 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,44.721,192,4,63.435,30.000
2,14.142,348,3,135.000,10.000
3,58.310,128,5,120.964,30.000
4,22.361,199,12,153.435,10.000
5,53.852,368,16,111.801,40.000
6,22.361,585,44,116.565,10.000
7,31.623,212,47,108.435,20.000
8,22.361,37,52,116.565,10.000
9,82.462,150,64,75.964,60.000
10,14.142,1023,61,135.000,10.000
11,14.142,0,63,135.000,10.000
12,76.158,353,69,23.199,66.408
13,98.489,78,65,113.962,80.000
14,85.440,781,69,20.556,40.000
15,63.246,734,74,71.565,40.000
16,14.142,777,71,135.000,10.000
17,53.852,778,77,68.199,30.000
18,50.000,788,76,36.870,35.355
19,36.056,296,73,123.690,20.000
20,14.142,780,77,135.000,10.000
21,58.310,932,90,59.036,35.355
22,36.056,567,88,123.690,30.000
23,80.623,537,94,119.745,70.000
24,22.361,109,99,116.565,10.000
25,14.142,989,106,135.000,10.000
26,72.111,189,107,123.690,56.569
27,50.000,119,114,126.870,30.000
28,22.361,393,121,116.565,10.000
29,14.142,264,123,135.000,10.000
30,72.111,402,129,33.690,50.000
31,14.142,28,125,135.000,10.000
32,28.284,849,131,45.000,20.000
33,22.361,251,132,116.565,10.000
34,28.284,298,133,135.000,20.000
35,14.142,964,141,135.000,10.000
36,36.056,878,147,56.310,20.000
37,50.000,362,148,36.870,30.000
38,28.284,66,146,135.000,14.142
39,14.142,875,159,135.000,10.000
40,36.056,297,160,123.690,28.284
41,80.623,452,161,119.745,70.000
42,72.111,519,167,56.310,58.209
43,14.142,524,164,135.000,10.000
44,134.536,1004,167,131.987,110.000
45,22.361,1014,166,116.565,10.000
46,28.284,893,167,135.000,20.000
47,31.623,818,172,108.435,28.284
48,14.142,1015,172,135.000,10.000
49,36.056,246,173,123.690,20.000
50,22.361,699,183,153.435,10.000
51,67.082,435,184,116.565,60.000
52,80.623,697,185,150.255,50.000
53,14.142,697,187,135.000,10.000
54,58.310,729,192,30.964,40.000
55,36.056,943,195,33.690,20.000
56,36.056,900,197,56.310,20.000
57,28.284,307,198,135.000,20.000
58,36.056,704,201,56.310,20.000
59,64.031,150,203,141.340,50.000
60,22.361,459,211,153.435,10.000
61,98.489,933,219,23.962,84.853
62,22.361,939,213,153.435,10.000
63,58.310,23,217,149.036,37.947
64,72.111,448,217,146.310,60.000
65,31.623,3,218,161.565,20.000
66,58.310,28,227,59.036,40.000
67,98.489,4,228,23.962,66.000
68,14.142,32,225,135.000,10.000
69,14.142,52,225,135.000,10.000
70,28.284,200,233,135.000,14.142
71,67.082,753,233,116.565,40.000
72,14.142,757,234,135.000,10.000
73,22.361,757,236,116.565,10.000
74,14.142,796,243,135.000,10.000
75,114.018,793,246,164.745,97.754
76,14.142,801,243,135.000,10.000
77,14.142,794,244,135.000,10.000
78,14.142,525,250,135.000,10.000
79,14.142,526,252,135.000,10.000
80,50.000,485,256,143.130,30.000
81,31.623,94,258,161.565,10.000
82,14.142,515,261,135.000,10.000
83,44.721,833,262,116.565,30.000
84,22.361,509,266,153.435,10.000
85,111.803,667,281,63.435,90.000
86,28.284,88,277,135.000,20.000
87,22.361,207,278,153.435,10.000
88,22.361,463,279,153.435,10.000
89,28.284,808,286,45.000,14.142
90,22.361,169,285,116.565,10.000
91,22.361,171,285,116.565,10.000
92,28.284,809,288,45.000,14.142
93,44.721,372,289,26.565,30.000
94,116.619,784,295,30.964,100.000
95,41.231,58,289,165.964,30.000
96,28.284,327,290,135.000,20.000
97,100.000,273,294,126.870,90.000
98,86.023,508,297,144.462,70.000
99,31.623,933,296,161.565,20.000
100,28.284,906,297,135.000,20.000
101,70.711,347,305,45.000,60.000
102,28.284,362,300,135.000,14.142
103,14.142,277,303,135.000,10.000
104,22.361,988,303,116.565,10.000
105,22.361,990,303,116.565,10.000
106,14.142,823,308,135.000,10.000
107,22.361,846,309,153.435,10.000
108,28.284,875,311,135.000,20.000
109,36.056,940,316,146.310,20.000
110,42.426,90,318,135.000,30.000
111,41.231,22,321,165.964,10.000
112,14.142,479,321,135.000,10.000
113,22.361,607,321,153.435,10.000
114,22.361,256,324,153.435,10.000
115,22.361,333,324,116.565,10.000
116,14.142,372,325,135.000,10.000
117,64.031,686,325,128.660,50.000
118,76.158,370,330,156.801,66.408
119,78.102,13,337,50.194,43.656
120,14.142,360,332,135.000,10.000
121,22.361,150,335,116.565,10.000
122,58.310,773,346,30.964,49.497
123,53.852,327,345,111.801,40.000
124,58.310,724,346,120.964,40.000
125,36.056,274,347,146.310,20.000
126,42.426,238,352,45.000,30.000
127,22.361,496,355,116.565,10.000
128,50.000,422,358,126.870,37.947
129,41.231,96,367,104.036,30.000
130,36.056,155,369,33.690,20.000
131,28.284,680,370,45.000,14.142
132,41.231,843,369,104.036,30.000
133,44.721,741,376,153.435,30.000
134,58.310,977,382,30.964,49.497
135,44.721,886,380,153.435,30.000
136,36.056,772,390,123.690,20.000
137,108.167,807,394,146.310,98.387
138,44.721,59,395,26.565,30.000
139,67.082,90,393,116.565,56.569
140,14.142,825,393,135.000,10.000
141,14.142,601,409,135.000,10.000
142,116.619,889,411,149.036,90.000
143,14.142,975,412,135.000,10.000
144,108.167,766,414,146.310,90.000
145,14.142,901,414,135.000,10.000
146,36.056,904,414,146.310,20.000
147,14.142,756,415,135.000,10.000
148,14.142,901,416,135.000,10.000
149,14.142,146,417,135.000,10.000
150,108.167,830,421,123.690,91.924
151,14.142,955,420,135.000,10.000
152,28.284,339,422,135.000,14.142
153,14.142,840,427,135.000,10.000
154,28.284,996,430,45.000,20.000
155,28.284,336,432,45.000,14.142
156,28.284,629,431,135.000,20.000
157,14.142,47,432,135.000,10.000
158,22.361,309,435,116.565,10.000
159,28.284,628,439,45.000,20.000
160,98.995,239,447,45.000,75.186
161,56.569,612,444,45.000,40.000
162,28.284,404,451,135.000,20.000
163,14.142,314,452,135.000,10.000
164,64.031,317,452,128.660,50.000
165,22.361,41,453,153.435,10.000
166,63.246,858,459,71.565,30.000
167,22.361,861,453,116.565,10.000
168,56.569,16,463,45.000,31.305
169,64.031,544,463,38.660,42.426
170,44.721,667,464,116.565,30.000
171,106.301,505,474,48.814,90.000
172,56.569,474,468,135.000,38.806
173,58.310,349,470,149.036,35.777
174,44.721,1018,469,153.435,18.974
175,14.142,473,470,135.000,10.000
176,28.284,699,472,45.000,20.000
177,36.056,349,472,146.310,17.889
178,28.284,239,482,45.000,14.142
179,64.031,761,484,38.660,49.497
180,63.246,367,482,108.435,30.000
181,31.623,365,483,108.435,10.000
182,36.056,176,487,33.690,20.000
183,170.880,542,485,110.556,115.709
184,22.361,108,486,153.435,10.000
185,14.142,365,487,135.000,10.000
186,14.142,538,489,135.000,10.000
187,14.142,535,491,135.000,10.000
188,58.310,707,495,120.964,40.000
189,28.284,753,497,45.000,20.000
190,50.000,854,498,36.870,28.460
191,14.142,856,498,135.000,10.000
192,58.310,761,500,120.964,50.000
193,14.142,350,501,135.000,10.000
194,72.801,70,505,15.945,50.000
195,165.529,304,503,115.017,79.849
196,36.056,351,505,123.690,30.000
197,142.127,439,517,129.289,130.000
198,14.142,4,518,135.000,10.000
199,14.142,548,522,135.000,10.000
200,44.721,961,524,153.435,20.000
201,36.056,737,532,56.310,20.000
202,14.142,784,532,135.000,10.000
203,28.284,655,541,45.000,20.000
204,28.284,694,541,45.000,14.142
205,31.623,18,541,161.565,10.000
206,22.361,685,541,116.565,10.000
207,50.000,788,541,126.870,35.355
208,44.721,222,546,63.435,30.000
209,36.056,321,542,123.690,30.000
210,78.102,364,553,39.806,60.000
211,36.056,831,551,123.690,20.000
212,80.623,485,553,119.745,70.000
213,102.956,142,562,29.055,90.000
214,36.056,820,558,123.690,30.000
215,44.721,704,560,116.565,30.000
216,28.284,868,560,135.000,20.000
217,58.310,238,570,30.964,40.000
218,28.284,937,569,135.000,20.000
219,36.056,686,576,33.690,20.000
220,53.852,37,578,158.199,30.000
221,14.142,832,581,135.000,10.000
222,92.195,629,582,130.601,80.000
223,14.142,14,585,135.000,10.000
224,14.142,527,590,135.000,10.000
225,58.310,426,592,149.036,50.000
226,94.340,34,601,32.005,75.895
227,56.569,513,596,135.000,40.000
228,111.803,448,597,100.305,100.000
229,78.102,582,607,39.806,70.000
230,67.082,805,608,26.565,56.569
231,28.284,860,606,135.000,20.000
232,22.361,799,610,153.435,10.000
233,53.852,797,611,111.801,29.104
234,14.142,628,613,135.000,10.000
235,28.284,626,614,135.000,20.000
236,14.142,800,615,135.000,10.000
237,53.852,904,626,158.199,40.000
238,63.246,959,632,18.435,50.000
239,117.047,218,633,109.983,80.000
240,130.000,993,643,22.620,110.000
241,14.142,928,642,135.000,10.000
242,22.361,979,649,153.435,10.000
243,28.284,331,652,45.000,20.000
244,14.142,605,651,135.000,10.000
245,120.830,712,662,65.556,87.131
246,36.056,367,652,146.310,20.000
247,14.142,603,652,135.000,10.000
248,44.721,887,655,153.435,30.000
249,107.703,1014,663,158.199,80.000
250,80.623,148,668,60.255,63.640
251,41.231,0,663,104.036,10.000
252,42.426,867,665,135.000,30.000
253,36.056,216,667,146.310,30.000
254,56.569,636,671,45.000,40.000
255,14.142,130,670,135.000,10.000
256,36.056,131,674,56.310,20.000
257,14.142,131,675,135.000,10.000
258,67.082,660,679,116.565,50.000
259,58.310,348,684,30.964,40.000
260,102.956,617,701,60.945,89.443
261,72.801,728,692,105.945,70.000
262,50.000,895,695,126.870,40.000
263,28.284,256,698,135.000,14.142
264,36.056,11,700,146.310,20.000
265,64.031,167,703,128.660,50.000
266,42.426,646,703,135.000,30.000
267,58.310,263,704,120.964,50.000
268,53.852,370,707,21.801,30.000
269,28.284,605,705,135.000,20.000
270,14.142,372,708,135.000,10.000
271,31.623,355,709,161.565,20.000
272,58.310,477,709,120.964,50.000
273,94.868,558,715,18.435,70.000
274,41.231,617,712,165.964,30.000
275,22.361,211,712,116.565,10.000
276,58.310,912,715,30.964,40.000
277,50.000,98,714,143.130,30.000
278,111.803,766,723,10.305,90.000
279,58.310,9,732,30.964,30.000
280,28.284,414,732,135.000,20.000
281,41.231,54,742,165.964,20.000
282,31.623,262,744,108.435,20.000
283,86.023,386,744,125.538,70.000
284,100.000,753,749,126.870,77.782
285,28.284,952,753,45.000,20.000
286,36.056,631,755,123.690,26.833
287,44.721,506,757,153.435,30.000
288,28.284,661,761,135.000,20.000
289,50.000,650,765,36.870,40.000
290,36.056,364,764,123.690,20.000
291,78.102,603,771,50.194,60.000
292,64.031,947,767,128.660,50.000
293,50.000,353,772,143.130,30.000
294,72.111,683,779,56.310,60.000
295,44.721,430,780,153.435,20.000
296,86.023,201,787,35.538,70.000
297,22.361,84,786,153.435,10.000
298,31.623,292,786,108.435,20.000
299,28.284,700,789,135.000,14.142
300,36.056,401,793,33.690,28.284
301,36.056,422,793,123.690,30.000
302,14.142,487,793,135.000,10.000
303,36.056,139,794,146.310,20.000
304,50.000,901,796,126.870,40.000
305,36.056,683,798,123.690,30.000
306,50.000,432,800,143.130,40.000
307,22.361,678,800,153.435,10.000
308,102.956,618,803,119.055,80.000
309,36.056,957,803,123.690,26.833
310,50.000,512,806,126.870,33.282
311,120.416,99,809,138.366,100.000
312,42.426,158,811,45.000,30.000
313,36.056,769,814,56.310,20.000
314,14.142,507,814,135.000,10.000
315,101.980,506,817,168.690,67.910
316,14.142,624,814,135.000,10.000
317,63.246,619,819,18.435,49.497
318,31.623,883,815,161.565,10.000
319,64.031,820,819,141.340,37.947
320,42.426,812,824,45.000,21.213
321,56.569,86,824,135.000,40.000
322,106.301,810,826,131.186,58.897
323,56.569,822,832,45.000,28.284
324,22.361,675,829,116.565,10.000
325,28.284,66,835,135.000,20.000
326,36.056,691,835,123.690,30.000
327,28.284,449,836,135.000,20.000
328,50.000,920,836,126.870,40.000
329,92.195,544,841,167.471,80.000
330,36.056,778,837,123.690,28.284
331,58.310,462,844,120.964,50.000
332,53.852,495,854,21.801,40.000
333,53.852,726,853,111.801,40.000
334,58.310,313,858,30.964,49.497
335,265.707,328,861,160.201,180.000
336,42.426,475,854,135.000,30.000
337,44.721,765,854,116.565,30.000
338,134.536,811,855,131.987,110.000
339,44.721,451,863,26.565,30.000
340,36.056,943,863,146.310,17.889
341,44.721,997,866,153.435,20.000
342,31.623,304,867,108.435,28.284
343,58.310,235,869,149.036,30.000
344,100.000,76,876,36.870,80.000
345,41.231,241,872,165.964,30.000
346,64.031,539,879,38.660,40.000
347,44.721,675,879,116.565,30.000
348,28.284,646,884,45.000,20.000
349,36.056,825,891,123.690,30.000
350,36.056,973,891,146.310,17.889
351,50.000,402,894,126.870,30.000
352,53.852,468,896,158.199,40.000
353,58.310,592,899,120.964,50.000
354,28.284,808,908,135.000,20.000
355,67.082,851,914,26.565,50.000
356,14.142,356,911,135.000,10.000
357,86.023,192,921,35.538,60.000
358,36.056,569,918,123.690,30.000
359,72.801,400,922,164.055,60.000
360,70.711,365,923,135.000,50.000
361,64.031,519,926,128.660,50.000
362,36.056,337,930,123.690,20.000
363,36.056,894,930,146.310,20.000
364,50.000,915,931,126.870,30.000
365,44.721,305,932,116.565,30.000
366,50.000,77,938,36.870,30.000
367,72.111,915,953,123.690,50.000
368,64.031,54,959,141.340,50.000
369,41.231,539,958,104.036,30.000
370,42.426,466,960,135.000,30.000
371,58.310,466,964,120.964,40.000
372,22.361,538,964,116.565,10.000
373,14.142,824,970,135.000,10.000
374,44.721,778,976,116.565,30.000
375,28.284,827,983,135.000,20.000
376,98.489,848,993,66.038,75.895
377,14.142,736,989,135.000,10.000
378,22.361,468,996,116.565,10.000
379,72.111,47,1005,56.310,28.284
380,14.142,377,999,135.000,10.000
381,14.142,463,1003,135.000,10.000
382,53.852,770,1004,111.801,29.104
383,14.142,46,1006,135.000,10.000
384,50.000,450,1011,36.870,40.000
385,125.300,222,1020,61.390,80.000
386,36.056,192,1022,146.310,20.000
